draw_number,draw_date,day_of_week,ball_1,ball_2,ball_3,ball_4,ball_5,ball_6,bonus_ball,star_1,star_2
1190,2019-02-12 00:00:00,Tuesday,1,12,31,34,38,5,11,5,11
1191,2019-02-15 00:00:00,Friday,4,6,36,42,49,2,6,2,6
1192,2019-02-19 00:00:00,Tuesday,11,14,21,36,46,3,5,3,5
1193,2019-02-22 00:00:00,Friday,7,17,29,38,47,1,10,1,10
1194,2019-02-26 00:00:00,Tuesday,4,10,13,33,34,2,6,2,6
1195,2019-03-01 00:00:00,Friday,3,6,16,43,45,1,7,1,7
1196,2019-03-05 00:00:00,Tuesday,2,8,22,25,35,2,8,2,8
1197,2019-03-08 00:00:00,Friday,4,7,20,30,32,4,11,4,11
1198,2019-03-12 00:00:00,Tuesday,10,13,15,23,35,1,5,1,5
1199,2019-03-15 00:00:00,Friday,12,15,34,41,45,8,10,8,10
1200,2019-03-19 00:00:00,Tuesday,2,31,33,42,43,2,11,2,11
1201,2019-03-22 00:00:00,Friday,14,23,36,37,49,4,6,4,6
1202,2019-03-26 00:00:00,Tuesday,13,27,28,46,48,1,2,1,2
1203,2019-03-29 00:00:00,Friday,6,12,22,24,33,9,12,9,12
1204,2019-04-02 00:00:00,Tuesday,20,24,35,43,49,10,11,10,11
1205,2019-04-05 00:00:00,Friday,1,11,15,39,43,1,11,1,11
1206,2019-04-09 00:00:00,Tuesday,13,16,23,38,44,9,11,9,11
1207,2019-04-12 00:00:00,Friday,7,13,36,39,42,7,8,7,8
1208,2019-04-16 00:00:00,Tuesday,17,19,22,32,33,7,8,7,8
1209,2019-04-19 00:00:00,Friday,17,22,35,38,44,4,12,4,12
1210,2019-04-23 00:00:00,Tuesday,4,17,28,40,48,5,8,5,8
1211,2019-04-26 00:00:00,Friday,1,9,26,29,49,4,8,4,8
1212,2019-04-30 00:00:00,Tuesday,15,27,32,36,44,5,9,5,9
1213,2019-05-03 00:00:00,Friday,17,24,26,28,46,3,6,3,6
1214,2019-05-07 00:00:00,Tuesday,10,13,25,35,36,8,10,8,10
1215,2019-05-10 00:00:00,Friday,8,10,29,34,45,3,9,3,9
1216,2019-05-14 00:00:00,Tuesday,4,7,19,29,39,7,10,7,10
1217,2019-05-17 00:00:00,Friday,26,36,42,46,48,8,9,8,9
1218,2019-05-21 00:00:00,Tuesday,8,12,32,37,41,2,5,2,5
1219,2019-05-24 00:00:00,Friday,10,21,36,38,49,5,6,5,6
1220,2019-05-28 00:00:00,Tuesday,2,14,16,42,46,3,7,3,7
1221,2019-05-31 00:00:00,Friday,16,21,23,29,37,9,10,9,10
1222,2019-06-04 00:00:00,Tuesday,5,8,12,27,40,6,7,6,7
1223,2019-06-07 00:00:00,Friday,1,9,19,22,28,1,4,1,4
1224,2019-06-11 00:00:00,Tuesday,2,13,18,19,21,3,9,3,9
1225,2019-06-14 00:00:00,Friday,8,12,24,32,38,3,8,3,8
1226,2019-06-18 00:00:00,Tuesday,8,12,25,26,36,2,3,2,3
1227,2019-06-21 00:00:00,Friday,5,6,10,32,44,8,9,8,9
1228,2019-06-25 00:00:00,Tuesday,17,19,34,46,49,9,12,9,12
1229,2019-06-28 00:00:00,Friday,13,24,27,28,38,2,3,2,3
1230,2019-07-02 00:00:00,Tuesday,8,30,34,37,49,4,9,4,9
1231,2019-07-05 00:00:00,Friday,15,20,23,31,39,3,11,3,11
1232,2019-07-09 00:00:00,Tuesday,15,19,34,49,50,8,12,8,12
1233,2019-07-12 00:00:00,Friday,3,8,16,18,21,2,7,2,7
1234,2019-07-16 00:00:00,Tuesday,11,25,41,44,46,2,4,2,4
1235,2019-07-19 00:00:00,Friday,17,27,30,35,45,1,11,1,11
1236,2019-07-23 00:00:00,Tuesday,6,10,14,31,36,2,3,2,3
1237,2019-07-26 00:00:00,Friday,9,14,17,34,39,5,11,5,11
1238,2019-07-30 00:00:00,Tuesday,4,21,31,40,47,5,9,5,9
1239,2019-08-02 00:00:00,Friday,10,21,30,32,42,3,11,3,11
1240,2019-08-06 00:00:00,Tuesday,12,18,28,37,49,2,11,2,11
1241,2019-08-09 00:00:00,Friday,7,32,35,41,44,3,4,3,4
1242,2019-08-13 00:00:00,Tuesday,19,32,34,35,47,5,9,5,9
1243,2019-08-16 00:00:00,Friday,3,16,27,32,40,4,12,4,12
1244,2019-08-20 00:00:00,Tuesday,2,16,36,48,49,1,12,1,12
1245,2019-08-23 00:00:00,Friday,2,7,13,27,29,8,10,8,10
1246,2019-08-27 00:00:00,Tuesday,5,6,7,29,42,10,12,10,12
1247,2019-08-30 00:00:00,Friday,18,20,32,35,50,6,7,6,7
1248,2019-09-03 00:00:00,Tuesday,17,27,36,40,44,5,8,5,8
1249,2019-09-06 00:00:00,Friday,3,4,19,36,44,7,10,7,10
1250,2019-09-10 00:00:00,Tuesday,6,30,38,41,46,9,10,9,10
1251,2019-09-13 00:00:00,Friday,1,9,14,35,46,10,12,10,12
1252,2019-09-17 00:00:00,Tuesday,5,15,27,35,45,2,10,2,10
1253,2019-09-20 00:00:00,Friday,8,22,23,31,37,3,11,3,11
1254,2019-09-24 00:00:00,Tuesday,1,6,10,24,49,2,10,2,10
1255,2019-09-27 00:00:00,Friday,24,25,38,41,45,9,12,9,12
1256,2019-10-01 00:00:00,Tuesday,19,23,34,39,43,4,8,4,8
1257,2019-10-04 00:00:00,Friday,3,20,26,43,50,2,3,2,3
1258,2019-10-08 00:00:00,Tuesday,10,12,41,44,45,1,7,1,7
1259,2019-10-11 00:00:00,Friday,4,6,19,35,41,7,8,7,8
1260,2019-10-15 00:00:00,Tuesday,7,15,42,43,45,2,12,2,12
1261,2019-10-18 00:00:00,Friday,5,25,34,39,45,4,6,4,6
1262,2019-10-22 00:00:00,Tuesday,8,13,23,33,44,5,6,5,6
1263,2019-10-25 00:00:00,Friday,11,12,28,37,46,3,10,3,10
1264,2019-10-29 00:00:00,Tuesday,28,36,43,46,49,1,11,1,11
1265,2019-11-01 00:00:00,Friday,3,7,14,22,27,4,5,4,5
1266,2019-11-05 00:00:00,Tuesday,4,8,15,17,42,5,8,5,8
1267,2019-11-08 00:00:00,Friday,3,6,7,11,28,3,10,3,10
1268,2019-11-12 00:00:00,Tuesday,1,2,29,36,38,2,12,2,12
1269,2019-11-15 00:00:00,Friday,1,24,26,37,43,1,10,1,10
1270,2019-11-19 00:00:00,Tuesday,12,15,17,26,44,1,2,1,2
1271,2019-11-22 00:00:00,Friday,1,24,40,41,50,2,3,2,3
1272,2019-11-26 00:00:00,Tuesday,16,21,27,30,31,4,11,4,11
1273,2019-11-29 00:00:00,Friday,5,12,30,31,44,11,12,11,12
1274,2019-12-03 00:00:00,Tuesday,3,4,20,44,49,3,10,3,10
1275,2019-12-06 00:00:00,Friday,5,15,17,23,37,7,9,7,9
1276,2019-12-10 00:00:00,Tuesday,12,24,36,40,41,4,5,4,5
1277,2019-12-13 00:00:00,Friday,4,8,16,30,42,9,12,9,12
1278,2019-12-17 00:00:00,Tuesday,1,2,29,43,44,2,10,2,10
1279,2019-12-20 00:00:00,Friday,11,18,29,43,49,2,10,2,10
1280,2019-12-24 00:00:00,Tuesday,2,10,18,19,40,3,11,3,11
1281,2019-12-27 00:00:00,Friday,29,34,38,46,50,3,10,3,10
1282,2019-12-31 00:00:00,Tuesday,13,16,20,29,49,1,10,1,10
1283,2020-01-03 00:00:00,Friday,4,12,17,43,49,5,11,5,11
1284,2020-01-07 00:00:00,Tuesday,27,33,44,46,49,3,6,3,6
1285,2020-01-10 00:00:00,Friday,5,9,25,29,32,4,10,4,10
1286,2020-01-14 00:00:00,Tuesday,6,21,25,29,50,4,8,4,8
1287,2020-01-17 00:00:00,Friday,3,9,30,43,49,4,12,4,12
1288,2020-01-21 00:00:00,Tuesday,12,24,35,38,41,4,7,4,7
1289,2020-01-24 00:00:00,Friday,1,4,13,31,35,4,10,4,10
1290,2020-01-28 00:00:00,Tuesday,5,8,18,36,41,3,11,3,11
1291,2020-01-31 00:00:00,Friday,1,25,27,33,45,2,9,2,9
1292,2020-02-04 00:00:00,Tuesday,7,22,33,34,46,2,9,2,9
1293,2020-02-07 00:00:00,Friday,6,20,27,38,44,6,9,6,9
1294,2020-02-11 00:00:00,Tuesday,2,23,41,44,47,9,11,9,11
1295,2020-02-14 00:00:00,Friday,21,29,46,47,49,5,12,5,12
1296,2020-02-18 00:00:00,Tuesday,2,5,26,34,44,3,4,3,4
1297,2020-02-21 00:00:00,Friday,24,37,40,47,50,1,2,1,2
1298,2020-02-25 00:00:00,Tuesday,1,2,25,35,47,1,9,1,9
1299,2020-02-28 00:00:00,Friday,1,11,28,39,42,5,6,5,6
1300,2020-03-03 00:00:00,Tuesday,1,27,32,42,47,1,7,1,7
1301,2020-03-06 00:00:00,Friday,14,16,20,47,50,2,6,2,6
1302,2020-03-10 00:00:00,Tuesday,2,8,10,21,33,11,12,11,12
1303,2020-03-13 00:00:00,Friday,13,17,18,35,45,7,9,7,9
1304,2020-03-17 00:00:00,Tuesday,11,12,13,31,34,10,11,10,11
1305,2020-03-20 00:00:00,Friday,21,33,37,39,40,8,12,8,12
1306,2020-03-24 00:00:00,Tuesday,1,22,31,34,47,4,8,4,8
1307,2020-03-27 00:00:00,Friday,3,8,26,35,45,1,12,1,12
1308,2020-03-31 00:00:00,Tuesday,15,32,44,46,48,5,7,5,7
1309,2020-04-03 00:00:00,Friday,3,8,17,34,37,3,4,3,4
1310,2020-04-07 00:00:00,Tuesday,11,14,22,23,25,7,9,7,9
1311,2020-04-10 00:00:00,Friday,16,19,20,24,41,8,9,8,9
1312,2020-04-14 00:00:00,Tuesday,2,19,21,29,32,7,12,7,12
1313,2020-04-17 00:00:00,Friday,5,11,22,42,45,7,12,7,12
1314,2020-04-21 00:00:00,Tuesday,3,18,23,38,48,7,10,7,10
1315,2020-04-24 00:00:00,Friday,19,21,27,28,48,5,10,5,10
1316,2020-04-28 00:00:00,Tuesday,15,18,24,29,43,1,2,1,2
1317,2020-05-01 00:00:00,Friday,4,8,15,16,50,7,10,7,10
1318,2020-05-05 00:00:00,Tuesday,25,27,28,32,49,5,8,5,8
1319,2020-05-08 00:00:00,Friday,9,24,31,32,33,3,4,3,4
1320,2020-05-12 00:00:00,Tuesday,1,27,40,46,50,3,12,3,12
1321,2020-05-15 00:00:00,Friday,8,13,33,39,42,9,12,9,12
1322,2020-05-19 00:00:00,Tuesday,4,20,28,37,43,1,12,1,12
1323,2020-05-22 00:00:00,Friday,21,37,39,43,47,4,8,4,8
1324,2020-05-26 00:00:00,Tuesday,14,16,28,39,50,6,7,6,7
1325,2020-05-29 00:00:00,Friday,5,6,22,34,44,2,11,2,11
1326,2020-06-02 00:00:00,Tuesday,10,25,28,39,49,5,12,5,12
1327,2020-06-05 00:00:00,Friday,7,18,22,46,50,9,12,9,12
1328,2020-06-09 00:00:00,Tuesday,6,11,12,18,45,7,12,7,12
1329,2020-06-12 00:00:00,Friday,10,32,36,37,40,7,10,7,10
1330,2020-06-16 00:00:00,Tuesday,8,13,34,48,50,9,10,9,10
1331,2020-06-19 00:00:00,Friday,16,19,32,34,39,10,11,10,11
1332,2020-06-23 00:00:00,Tuesday,2,4,14,29,30,1,6,1,6
1333,2020-06-26 00:00:00,Friday,12,25,29,36,38,4,11,4,11
1334,2020-06-30 00:00:00,Tuesday,22,32,36,43,50,10,12,10,12
1335,2020-07-03 00:00:00,Friday,8,12,14,19,33,2,3,2,3
1336,2020-07-07 00:00:00,Tuesday,1,7,16,22,39,7,10,7,10
1337,2020-07-10 00:00:00,Friday,5,8,10,21,47,9,10,9,10
1338,2020-07-14 00:00:00,Tuesday,9,19,22,35,50,3,11,3,11
1339,2020-07-17 00:00:00,Friday,9,19,34,37,44,5,8,5,8
1340,2020-07-21 00:00:00,Tuesday,1,7,17,25,42,9,11,9,11
1341,2020-07-24 00:00:00,Friday,2,11,20,29,45,1,5,1,5
1342,2020-07-28 00:00:00,Tuesday,7,18,30,33,46,3,5,3,5
1343,2020-07-31 00:00:00,Friday,2,22,25,29,35,1,3,1,3
1344,2020-08-04 00:00:00,Tuesday,3,37,43,45,50,4,5,4,5
1345,2020-08-07 00:00:00,Friday,6,13,20,22,47,2,6,2,6
1346,2020-08-11 00:00:00,Tuesday,5,9,18,40,46,9,11,9,11
1347,2020-08-14 00:00:00,Friday,11,12,22,33,45,10,12,10,12
1348,2020-08-18 00:00:00,Tuesday,7,17,28,31,36,4,9,4,9
1349,2020-08-21 00:00:00,Friday,11,23,38,39,46,7,12,7,12
1350,2020-08-25 00:00:00,Tuesday,19,22,26,37,46,9,11,9,11
1351,2020-08-28 00:00:00,Friday,5,14,44,47,50,10,11,10,11
1352,2020-09-01 00:00:00,Tuesday,3,6,23,24,38,1,7,1,7
1353,2020-09-04 00:00:00,Friday,3,11,33,38,47,3,6,3,6
1354,2020-09-08 00:00:00,Tuesday,2,3,18,45,48,7,9,7,9
1355,2020-09-11 00:00:00,Friday,1,22,23,29,33,7,11,7,11
1356,2020-09-15 00:00:00,Tuesday,24,29,34,41,47,6,7,6,7
1357,2020-09-18 00:00:00,Friday,6,8,10,29,42,1,10,1,10
1358,2020-09-22 00:00:00,Tuesday,3,10,20,29,46,10,12,10,12
1359,2020-09-25 00:00:00,Friday,4,5,15,24,44,4,12,4,12
1360,2020-09-29 00:00:00,Tuesday,3,15,24,33,37,6,8,6,8
1361,2020-10-02 00:00:00,Friday,14,20,29,37,48,5,7,5,7
1362,2020-10-06 00:00:00,Tuesday,15,23,31,35,41,4,7,4,7
1363,2020-10-09 00:00:00,Friday,7,11,32,34,43,7,8,7,8
1364,2020-10-13 00:00:00,Tuesday,4,14,17,23,42,5,8,5,8
1365,2020-10-16 00:00:00,Friday,2,15,27,35,46,4,7,4,7
1366,2020-10-20 00:00:00,Tuesday,3,8,13,15,41,7,12,7,12
1367,2020-10-23 00:00:00,Friday,28,30,34,45,49,5,6,5,6
1368,2020-10-27 00:00:00,Tuesday,2,4,26,29,32,8,12,8,12
1369,2020-10-30 00:00:00,Friday,2,9,22,34,45,1,10,1,10
1370,2020-11-03 00:00:00,Tuesday,4,16,21,37,50,4,7,4,7
1371,2020-11-06 00:00:00,Friday,10,14,17,26,37,1,5,1,5
1372,2020-11-10 00:00:00,Tuesday,7,8,9,16,48,6,8,6,8
1373,2020-11-13 00:00:00,Friday,8,17,33,38,47,5,11,5,11
1374,2020-11-17 00:00:00,Tuesday,6,28,33,41,43,2,12,2,12
1375,2020-11-20 00:00:00,Friday,2,5,16,43,49,5,12,5,12
1376,2020-11-24 00:00:00,Tuesday,8,13,16,26,33,2,5,2,5
1377,2020-11-27 00:00:00,Friday,30,31,34,41,47,2,12,2,12
1378,2020-12-01 00:00:00,Tuesday,4,14,17,18,37,6,10,6,10
1379,2020-12-04 00:00:00,Friday,6,34,36,38,42,1,10,1,10
1380,2020-12-08 00:00:00,Tuesday,3,4,21,24,27,8,12,8,12
1381,2020-12-11 00:00:00,Friday,19,23,26,41,50,5,10,5,10
1382,2020-12-15 00:00:00,Tuesday,8,10,37,40,43,5,9,5,9
1383,2020-12-18 00:00:00,Friday,18,23,26,32,50,2,12,2,12
1384,2020-12-22 00:00:00,Tuesday,11,12,29,39,45,8,11,8,11
1385,2020-12-25 00:00:00,Friday,11,35,44,46,49,6,9,6,9
1386,2020-12-29 00:00:00,Tuesday,8,10,16,33,43,2,5,2,5
1387,2021-01-01 00:00:00,Friday,27,28,37,42,46,8,11,8,11
1388,2021-01-05 00:00:00,Tuesday,4,24,33,40,46,3,8,3,8
1389,2021-01-08 00:00:00,Friday,12,27,32,47,48,4,10,4,10
1390,2021-01-12 00:00:00,Tuesday,4,9,10,32,39,5,12,5,12
1391,2021-01-15 00:00:00,Friday,13,18,32,43,47,2,9,2,9
1392,2021-01-19 00:00:00,Tuesday,14,26,40,41,45,2,9,2,9
1393,2021-01-22 00:00:00,Friday,15,23,26,36,38,3,4,3,4
1394,2021-01-26 00:00:00,Tuesday,4,9,11,24,47,5,6,5,6
1395,2021-01-29 00:00:00,Friday,12,19,30,34,40,5,7,5,7
1396,2021-02-02 00:00:00,Tuesday,14,22,26,39,47,5,8,5,8
1397,2021-02-05 00:00:00,Friday,2,6,13,39,48,1,7,1,7
1398,2021-02-09 00:00:00,Tuesday,21,34,36,46,47,5,6,5,6
1399,2021-02-12 00:00:00,Friday,7,14,17,23,29,2,3,2,3
1400,2021-02-16 00:00:00,Tuesday,17,24,37,38,40,4,8,4,8
1401,2021-02-19 00:00:00,Friday,17,20,34,46,50,6,12,6,12
1402,2021-02-23 00:00:00,Tuesday,15,24,32,38,46,6,11,6,11
1403,2021-02-26 00:00:00,Friday,17,19,28,38,42,2,5,2,5
1404,2021-03-02 00:00:00,Tuesday,3,15,28,30,31,6,10,6,10
1405,2021-03-05 00:00:00,Friday,14,17,20,28,29,3,8,3,8
1406,2021-03-09 00:00:00,Tuesday,1,3,13,31,38,7,9,7,9
1407,2021-03-12 00:00:00,Friday,4,23,25,34,40,3,6,3,6
1408,2021-03-16 00:00:00,Tuesday,5,9,10,17,25,8,11,8,11
1409,2021-03-19 00:00:00,Friday,1,2,11,34,47,8,11,8,11
1410,2021-03-23 00:00:00,Tuesday,3,8,23,29,34,9,11,9,11
1411,2021-03-26 00:00:00,Friday,14,19,27,29,48,8,11,8,11
1412,2021-03-30 00:00:00,Tuesday,8,27,30,40,45,1,2,1,2
1413,2021-04-02 00:00:00,Friday,17,25,34,43,48,8,10,8,10
1414,2021-04-06 00:00:00,Tuesday,1,12,26,30,40,5,7,5,7
1415,2021-04-09 00:00:00,Friday,1,2,14,17,24,3,4,3,4
1416,2021-04-13 00:00:00,Tuesday,15,28,35,48,49,10,12,10,12
1417,2021-04-16 00:00:00,Friday,1,8,20,31,42,4,9,4,9
1418,2021-04-20 00:00:00,Tuesday,15,19,33,41,46,5,11,5,11
1419,2021-04-23 00:00:00,Friday,10,11,12,18,22,11,12,11,12
1420,2021-04-27 00:00:00,Tuesday,1,11,34,39,43,6,9,6,9
1421,2021-04-30 00:00:00,Friday,18,20,27,45,47,1,9,1,9
1422,2021-05-04 00:00:00,Tuesday,5,10,25,26,38,2,9,2,9
1423,2021-05-07 00:00:00,Friday,3,14,43,47,50,10,12,10,12
1424,2021-05-11 00:00:00,Tuesday,10,15,35,43,49,4,8,4,8
1425,2021-05-14 00:00:00,Friday,1,18,21,24,33,3,5,3,5
1426,2021-05-18 00:00:00,Tuesday,15,25,27,46,49,4,6,4,6
1427,2021-05-21 00:00:00,Friday,4,14,19,43,48,1,6,1,6
1428,2021-05-25 00:00:00,Tuesday,16,22,32,33,45,8,12,8,12
1429,2021-05-28 00:00:00,Friday,15,19,20,24,39,2,6,2,6
1430,2021-06-01 00:00:00,Tuesday,11,30,37,41,49,8,12,8,12
1431,2021-06-04 00:00:00,Friday,10,29,31,43,44,3,9,3,9
1432,2021-06-08 00:00:00,Tuesday,11,21,27,36,45,1,10,1,10
1433,2021-06-11 00:00:00,Friday,2,15,35,38,40,5,7,5,7
1434,2021-06-15 00:00:00,Tuesday,5,12,19,30,39,8,10,8,10
1435,2021-06-18 00:00:00,Friday,29,40,42,43,47,3,6,3,6
1436,2021-06-22 00:00:00,Tuesday,2,10,26,31,35,3,12,3,12
1437,2021-06-25 00:00:00,Friday,9,11,38,43,45,5,6,5,6
1438,2021-06-29 00:00:00,Tuesday,1,15,17,40,44,3,11,3,11
1439,2021-07-02 00:00:00,Friday,17,23,32,34,36,5,12,5,12
1440,2021-07-06 00:00:00,Tuesday,9,25,34,36,45,1,12,1,12
1441,2021-07-09 00:00:00,Friday,7,21,27,43,46,1,6,1,6
1442,2021-07-13 00:00:00,Tuesday,12,15,20,41,47,4,11,4,11
1443,2021-07-16 00:00:00,Friday,11,31,38,39,45,2,8,2,8
1444,2021-07-20 00:00:00,Tuesday,17,19,23,26,27,2,8,2,8
1445,2021-07-23 00:00:00,Friday,5,13,23,29,35,1,12,1,12
1446,2021-07-27 00:00:00,Tuesday,7,20,26,40,48,1,4,1,4
1447,2021-07-30 00:00:00,Friday,4,6,13,15,31,2,12,2,12
1448,2021-08-03 00:00:00,Tuesday,4,5,13,33,47,6,7,6,7
1449,2021-08-06 00:00:00,Friday,5,23,24,43,45,4,5,4,5
1450,2021-08-10 00:00:00,Tuesday,16,20,22,36,37,7,8,7,8
1451,2021-08-13 00:00:00,Friday,1,3,13,41,46,3,12,3,12
1452,2021-08-17 00:00:00,Tuesday,6,24,34,35,38,7,9,7,9
1453,2021-08-20 00:00:00,Friday,13,15,18,31,45,1,8,1,8
1454,2021-08-24 00:00:00,Tuesday,3,10,20,26,44,5,8,5,8
1455,2021-08-27 00:00:00,Friday,4,29,41,42,46,3,5,3,5
1456,2021-08-31 00:00:00,Tuesday,17,26,37,42,49,2,9,2,9
1457,2021-09-03 00:00:00,Friday,1,17,24,35,38,1,8,1,8
1458,2021-09-07 00:00:00,Tuesday,5,6,32,38,45,8,11,8,11
1459,2021-09-10 00:00:00,Friday,14,20,26,31,42,2,3,2,3
1460,2021-09-14 00:00:00,Tuesday,9,29,40,43,45,2,5,2,5
1461,2021-09-17 00:00:00,Friday,4,9,38,41,49,4,11,4,11
1462,2021-09-21 00:00:00,Tuesday,26,29,35,48,50,2,4,2,4
1463,2021-09-24 00:00:00,Friday,1,2,17,24,42,2,12,2,12
1464,2021-09-28 00:00:00,Tuesday,10,16,19,25,47,6,12,6,12
1465,2021-10-01 00:00:00,Friday,11,19,30,35,38,2,8,2,8
1466,2021-10-05 00:00:00,Tuesday,10,12,18,26,37,1,7,1,7
1467,2021-10-08 00:00:00,Friday,2,21,24,26,36,4,7,4,7
1468,2021-10-12 00:00:00,Tuesday,9,12,15,18,29,1,12,1,12
1469,2021-10-15 00:00:00,Friday,9,10,30,39,47,4,7,4,7
1470,2021-10-19 00:00:00,Tuesday,1,6,11,14,47,3,12,3,12
1471,2021-10-22 00:00:00,Friday,10,14,23,33,44,8,11,8,11
1472,2021-10-26 00:00:00,Tuesday,9,16,23,34,45,8,12,8,12
1473,2021-10-29 00:00:00,Friday,7,19,33,34,38,6,11,6,11
1474,2021-11-02 00:00:00,Tuesday,14,16,19,23,35,3,11,3,11
1475,2021-11-05 00:00:00,Friday,5,16,20,36,43,5,11,5,11
1476,2021-11-09 00:00:00,Tuesday,11,20,25,26,32,6,11,6,11
1477,2021-11-12 00:00:00,Friday,12,26,30,40,42,8,12,8,12
1478,2021-11-16 00:00:00,Tuesday,3,15,44,45,46,3,7,3,7
1479,2021-11-19 00:00:00,Friday,11,14,18,27,48,1,11,1,11
1480,2021-11-23 00:00:00,Tuesday,8,15,18,19,32,10,11,10,11
1481,2021-11-26 00:00:00,Friday,9,29,31,40,42,2,3,2,3
1482,2021-11-30 00:00:00,Tuesday,12,14,19,33,49,7,9,7,9
1483,2021-12-03 00:00:00,Friday,15,31,36,39,48,8,11,8,11
1484,2021-12-07 00:00:00,Tuesday,17,35,41,42,48,6,12,6,12
1485,2021-12-10 00:00:00,Friday,9,17,27,34,39,3,7,3,7
1486,2021-12-14 00:00:00,Tuesday,6,8,19,20,23,7,8,7,8
1487,2021-12-17 00:00:00,Friday,3,12,14,27,30,4,11,4,11
1488,2021-12-21 00:00:00,Tuesday,1,24,27,31,39,3,4,3,4
1489,2021-12-24 00:00:00,Friday,4,16,23,44,48,1,4,1,4
1490,2021-12-28 00:00:00,Tuesday,5,21,31,47,48,1,6,1,6
1491,2021-12-31 00:00:00,Friday,12,20,21,41,50,6,8,6,8
1492,2022-01-04 00:00:00,Tuesday,5,20,24,28,36,2,11,2,11
1493,2022-01-07 00:00:00,Friday,21,34,43,47,50,10,12,10,12
1494,2022-01-11 00:00:00,Tuesday,10,13,21,25,29,1,8,1,8
1495,2022-01-14 00:00:00,Friday,18,20,32,33,35,5,8,5,8
1496,2022-01-18 00:00:00,Tuesday,22,24,31,32,43,6,11,6,11
1497,2022-01-21 00:00:00,Friday,9,14,16,25,47,7,8,7,8
1498,2022-01-25 00:00:00,Tuesday,9,16,20,38,40,5,7,5,7
1499,2022-01-28 00:00:00,Friday,1,7,11,18,24,2,11,2,11
1500,2022-02-01 00:00:00,Tuesday,6,14,18,44,50,8,10,8,10
1501,2022-02-04 00:00:00,Friday,1,6,9,15,33,1,3,1,3
1502,2022-02-08 00:00:00,Tuesday,5,8,15,25,26,2,12,2,12
1503,2022-02-11 00:00:00,Friday,23,32,35,39,49,2,4,2,4
1504,2022-02-15 00:00:00,Tuesday,2,12,13,24,25,1,5,1,5
1505,2022-02-18 00:00:00,Friday,13,17,28,31,32,9,10,9,10
1506,2022-02-22 00:00:00,Tuesday,5,28,32,38,48,3,8,3,8
1507,2022-02-25 00:00:00,Friday,42,43,44,47,48,4,8,4,8
1508,2022-03-01 00:00:00,Tuesday,12,18,20,23,39,5,6,5,6
1509,2022-03-04 00:00:00,Friday,15,25,34,38,50,7,11,7,11
1510,2022-03-08 00:00:00,Tuesday,2,6,11,18,38,5,12,5,12
1511,2022-03-11 00:00:00,Friday,15,16,23,32,40,9,12,9,12
1512,2022-03-15 00:00:00,Tuesday,9,13,21,42,45,2,12,2,12
1513,2022-03-18 00:00:00,Friday,15,19,23,28,35,1,3,1,3
1514,2022-03-22 00:00:00,Tuesday,11,13,16,27,42,11,12,11,12
1515,2022-03-25 00:00:00,Friday,9,13,19,22,40,3,5,3,5
1516,2022-03-29 00:00:00,Tuesday,16,24,35,36,43,5,11,5,11
1517,2022-04-01 00:00:00,Friday,13,22,37,46,48,6,8,6,8
1518,2022-04-05 00:00:00,Tuesday,7,27,28,35,48,2,5,2,5
1519,2022-04-08 00:00:00,Friday,14,25,42,45,46,6,11,6,11
1520,2022-04-12 00:00:00,Tuesday,7,11,25,37,46,11,12,11,12
1521,2022-04-15 00:00:00,Friday,6,7,16,22,45,5,6,5,6
1522,2022-04-19 00:00:00,Tuesday,12,14,17,24,32,7,9,7,9
1523,2022-04-22 00:00:00,Friday,4,9,10,29,37,4,5,4,5
1524,2022-04-26 00:00:00,Tuesday,19,37,39,44,48,3,11,3,11
1525,2022-04-29 00:00:00,Friday,1,10,13,14,40,4,5,4,5
1526,2022-05-03 00:00:00,Tuesday,5,18,28,36,42,7,12,7,12
1527,2022-05-06 00:00:00,Friday,3,29,30,38,41,1,7,1,7
1528,2022-05-10 00:00:00,Tuesday,7,17,30,45,47,4,5,4,5
1529,2022-05-13 00:00:00,Friday,7,9,13,22,37,1,8,1,8
1530,2022-05-17 00:00:00,Tuesday,9,13,20,24,34,3,12,3,12
1531,2022-05-20 00:00:00,Friday,5,12,13,45,46,2,5,2,5
1532,2022-05-24 00:00:00,Tuesday,12,15,21,22,35,2,5,2,5
1533,2022-05-27 00:00:00,Friday,2,8,12,20,50,3,11,3,11
1534,2022-05-31 00:00:00,Tuesday,7,13,18,28,42,6,12,6,12
1535,2022-06-03 00:00:00,Friday,3,5,21,22,24,3,4,3,4
1536,2022-06-07 00:00:00,Tuesday,4,17,26,41,47,2,4,2,4
1537,2022-06-10 00:00:00,Friday,1,9,13,17,32,3,4,3,4
1538,2022-06-14 00:00:00,Tuesday,13,15,22,33,36,9,11,9,11
1539,2022-06-17 00:00:00,Friday,5,11,21,36,42,9,11,9,11
1540,2022-06-21 00:00:00,Tuesday,14,19,32,36,37,3,8,3,8
1541,2022-06-24 00:00:00,Friday,20,21,24,34,46,6,7,6,7
1542,2022-06-28 00:00:00,Tuesday,1,21,26,27,36,8,9,8,9
1543,2022-07-01 00:00:00,Friday,1,4,19,45,46,3,8,3,8
1544,2022-07-05 00:00:00,Tuesday,8,9,19,22,47,1,4,1,4
1545,2022-07-08 00:00:00,Friday,15,24,29,34,48,6,9,6,9
1546,2022-07-12 00:00:00,Tuesday,6,11,16,18,43,1,10,1,10
